Plot,Elevation,Elevation.Group,Abundance,n.Species,log.SLA,log.LMF,log.RMF,log.Soil,log.Light
161,1200,High,5,4,-1.17215061,0.717296947,-0.690740844,0.691902415,-0.205246604
162,1200,High,8,4,1.340798815,0.261752485,0.371764868,1.607957847,0.427316011
163,1200,High,9,6,0.343333599,0.623388324,-1.168518408,1.289363158,-0.793676944
164,1200,High,2,2,1.032656644,-0.871379911,0.971729021,0.882531691,-0.595081705
165,1200,High,2,2,-1.103935083,0.167728685,1.834345111,0.070982783,-0.756900048
166,1200,High,1,1,1.066531986,-2.379008462,0.016233278,1.143242658,-1.058470597
167,1200,High,4,4,-1.295956913,-0.135255647,1.216897796,0.936732347,-0.786321565
168,1200,High,3,3,-0.117176738,-0.501949665,2.408577144,0.732965753,1.148143178
169,1200,High,2,2,-0.132751911,1.923789565,-0.689760416,0.60412902,0.353762219
17,100,Low,8,6,0.523284481,0.354144806,-0.118393224,0.301611285,-0.653924739
170,1200,High,3,3,1.257069425,-1.298610421,1.337252752,0.326211803,-1.006982943
171,1200,High,8,6,-0.142071447,-0.435827199,-0.159644501,0.540740428,-0.749544669
172,1200,High,2,2,-0.206879946,-1.394926207,0.096436958,0.497632591,-1.264421216
173,1200,High,4,2,-0.51963647,-1.066914205,0.643180434,0.637619272,-0.823098461
174,1200,High,7,6,-0.992497543,0.807632097,-0.097652741,0.531839858,-0.322932672
175,1200,High,9,7,0.467295281,-0.436512101,-0.258618964,-0.327934548,-1.03640446
176,1300,High,10,2,1.076570596,1.298050964,-1.796517596,-1.193407882,-1.463016456
177,1300,High,5,2,1.59806315,0.194702303,-1.440317152,-2.231589771,-1.52185949
178,1300,High,8,6,-0.226852854,0.06039007,-1.043850274,-1.3786612,-1.02904908
179,1300,High,8,5,-1.21283556,0.327321371,-0.299730798,-2.012058167,0.721531182
18,100,Low,5,5,2.140187545,-0.176310595,0.032415506,1.958444605,0.64062201
180,1300,High,7,6,-0.177969218,0.017309738,0.177375084,-0.497841598,-0.411197223
181,1300,High,9,4,0.406334655,-1.370712334,-0.825422967,-1.700515622,0.706820423
182,1300,High,4,3,-1.43347734,0.778401423,0.505182531,-0.758872962,-0.955495288
183,1300,High,4,4,-0.733187436,0.156755852,0.762233971,-0.45697408,-0.337643431
184,1300,High,10,8,-0.779122634,-0.594597766,0.780021338,1.442077892,-0.374420327
185,1300,High,5,3,0.750968557,0.071441579,-0.301610858,0.746206988,-1.043759839
186,1300,High,4,3,0.091409636,0.003474606,-0.056294513,-0.828765358,-0.793676944
187,1300,High,4,3,-0.501628091,-0.110073566,0.30754355,-0.852334717,-0.256734259
188,1300,High,14,3,0.724268824,-0.51134625,-0.634752192,-0.449881461,-1.418884181
189,1300,High,8,4,-1.163970217,1.785098996,-1.107429695,-1.278287046,-1.139379769
19,100,Low,14,5,0.478561373,1.48033181,-0.866641252,2.614666949,1.376159935
190,1300,High,7,3,-1.057498322,1.145662794,-1.290313092,-1.597525789,-1.42623956
191,1300,High,4,4,0.748993746,1.011487513,-0.547836344,-0.698544654,-0.859875358
192,1300,High,9,5,-0.130827417,-0.744158522,-0.247212439,-0.448679865,-1.058470597
193,1300,High,6,5,0.573861968,1.256740796,-1.362487982,-0.797027682,-1.293842733
194,1300,High,9,3,-1.09608101,0.0925095,0.245346332,-0.277371972,-0.631858601
195,1300,High,8,6,0.201633993,-0.55182463,-1.073283559,-1.845732487,-0.609792463
196,1300,High,3,3,-0.056855749,-2.41916618,2.474707889,-1.617973514,2.575086753
197,1300,High,2,2,-0.812893025,2.436544528,-1.105169333,-0.504840134,-0.44061874
198,1300,High,7,6,-0.598980786,-1.380968882,0.193832651,-0.425919154,0.05219167
199,1300,High,4,3,-0.949633893,-1.334320325,-0.944865749,-0.224292007,0.486159045
2,100,Low,4,4,-0.338815527,-0.213570524,-0.461126509,1.528837417,-0.609792463
20,100,Low,4,4,-0.612166621,0.911961548,0.067502295,1.453833153,0.93483718
200,1300,High,6,5,-1.676835969,0.774053609,-0.668191725,-0.664057266,-0.043428261
21,100,Low,4,4,1.392947238,-0.585183005,0.451525667,2.490037206,0.331696081
22,100,Low,13,4,0.609958541,0.911442422,-0.769685557,0.523203969,1.148143178
23,100,Low,9,7,1.500535421,-0.778346552,0.907926877,0.728809633,1.574755175
24,100,Low,6,6,0.673883084,-0.505388033,1.344906982,1.334853248,1.537978278
25,100,Low,3,2,-1.037969365,-2.251843197,1.169067487,0.426475826,1.037812489
26,200,Low,3,3,-1.405565528,1.275987821,-0.564375576,0.316662491,2.553020615
27,200,Low,6,5,0.86186999,-1.533011246,0.759569397,0.418707801,0.287563806
28,200,Low,11,5,1.167915811,-1.735016288,0.800844529,0.294866528,-0.940784529
29,200,Low,9,5,1.593000032,-0.704388473,0.539191062,0.26221063,-0.094915915
3,100,Low,7,7,-0.500644182,-1.050594745,0.544948393,0.598724449,0.486159045
30,200,Low,7,6,-0.15818528,0.509922884,0.006032962,-0.016273107,2.413268409
31,200,Low,3,3,0.044559935,-1.042028164,-0.069299621,1.334622265,0.34640684
32,200,Low,5,3,-0.435661636,-1.634144422,3.905634368,1.170056224,-0.661280118
33,200,Low,9,4,1.273334924,0.913649581,-0.095845534,0.510415946,0.44202677
34,200,Low,1,1,1.438700084,1.375593436,-1.268833171,-1.406116775,-0.573015567
35,200,Low,5,5,-0.03281412,0.5751918,0.301878076,-1.572104867,-1.043759839
36,200,Low,5,5,2.278648651,-0.323773329,0.383642116,0.23468813,-0.256734259
37,200,Low,4,3,-0.219476504,-0.928107154,0.866857164,0.757539681,1.199630833
38,200,Low,7,5,0.8784377,-1.483781957,2.037809265,0.555827327,0.633266631
39,200,Low,8,7,0.481745591,0.863992614,0.37257044,0.090972953,1.155498557
4,100,Low,4,4,3.333707345,-3.17878782,3.007122888,1.64017226,0.875994146
40,200,Low,2,2,-0.709417439,0.636508321,1.239676358,1.236580965,-0.161114329
41,200,Low,4,2,-0.175553494,-1.848209502,1.399574688,-0.219719364,0.427316011
42,200,Low,17,7,0.067100923,0.298987126,-0.64811788,-0.334194608,-0.094915915
43,200,Low,4,2,0.395871561,0.367718217,-0.06903379,-1.640555141,-0.617147842
44,200,Low,8,3,0.800967054,-1.316721064,0.687159822,-1.523030889,-0.308221914
45,200,Low,6,4,-0.074990169,0.598494093,-0.757228527,-1.654561793,0.44202677
46,200,Low,14,9,1.847652465,-0.320882711,0.480023231,-0.773720749,1.91310262
47,200,Low,5,3,-0.262327676,0.62317616,-1.086157001,0.740832832,0.692109665
48,200,Low,8,3,1.516286631,1.78352819,-0.590410339,1.314728122,-0.418552602
49,200,Low,25,6,1.274206674,0.676159434,0.047691853,-0.094572282,0.419960632
5,100,Low,9,6,-0.43204376,-0.10268536,-0.146969763,1.083557159,-0.212601983
50,200,Low,6,6,0.523842785,0.87671219,-0.11554885,-0.194060725,-0.24937888
51,300,Low,3,3,3.896462328,-0.473501492,-0.386038206,-0.892340013,0.059547049
52,300,Low,3,3,0.855974437,-1.872702029,3.738494269,0.527036919,-0.2420235
53,300,Low,7,7,-0.032861112,0.557206579,0.071897955,0.292124996,-0.499461774
54,300,Low,13,7,1.197768008,-1.306970052,0.820923691,-1.076562081,-0.874586116
55,300,Low,4,4,-0.681734114,-0.731779022,0.129329705,-1.720164294,1.501201382
56,300,Low,22,7,-1.257176437,-0.03155898,0.56232242,-1.266385002,1.236407729
57,300,Low,4,1,1.911984903,0.706800026,0.689467941,-0.694309146,0.699465044
58,300,Low,13,6,0.199645118,0.108937136,0.342649467,-1.351969472,0.706820423
59,300,Low,3,3,-0.98700096,-0.535049111,0.897441304,0.713383507,1.339383039
6,100,Low,9,5,1.568972344,-1.267116313,0.918910429,0.063732609,-0.139048191
60,300,Low,8,5,0.656447142,1.263718063,-0.739464307,-0.249122066,0.316985323
61,300,Low,7,4,0.737219131,-1.011798831,0.090255309,0.868353778,-0.168469708
62,300,Low,10,4,0.383171532,-0.254461725,1.318216282,0.222507174,0.030125532
63,300,Low,7,2,0.328566018,-0.319218648,-0.774315893,-0.989448564,2.155830136
64,300,Low,7,3,1.698294354,-0.760883367,0.13542812,0.238203719,0.309629943
65,300,Low,4,2,1.489403047,0.442941237,0.117931545,0.703928639,-0.911363012
66,300,Low,6,3,0.047637861,-1.239164288,-0.279079908,-0.259252311,-1.257065837
67,300,Low,33,5,1.365513937,0.106896856,-0.30582346,-1.335072879,-0.683346256
68,300,Low,7,4,0.163232571,1.058403987,0.092143889,-1.842819553,-1.32326425
69,300,Low,7,6,-0.164170363,1.140478429,-0.535833907,-0.474263762,-0.139048191
7,100,Low,6,4,1.915312036,1.226548105,-0.346708867,0.832858043,0.552357459
70,300,Low,6,4,0.228947853,-1.588680801,1.382580796,0.047291178,-1.065825977
71,300,Low,9,7,-0.325963699,0.197618934,-0.324645577,-0.072409409,-1.374751905
72,300,Low,14,8,-0.054872599,0.654590506,-0.451280904,-0.442509024,-0.823098461
73,300,Low,6,3,-0.078192587,1.122679397,-0.513658716,-1.99753097,-0.550949429
74,300,Low,2,2,-1.516912875,-0.199836967,1.363277632,-0.074787668,2.670706683
75,300,Low,6,5,1.36118994,-0.652425223,-0.142739773,-0.640498515,0.64062201
75,400,Low,1,1,-0.231559238,-1.162831844,1.066215592,-0.640498515,0.64062201
76,400,Low,7,5,-0.69296658,-0.878981864,-0.750355406,-0.170417866,0.383183736
77,400,Low,10,6,-0.871477004,-0.649178073,0.210338755,0.689084094,0.059547049
78,400,Low,7,4,-0.07800889,-0.003174944,-0.712516036,-1.438594575,0.795084974
79,400,Low,11,7,-0.629658343,1.257558466,-1.673150791,0.021417634,1.611532071
8,100,Low,7,6,2.28228819,-0.964548159,2.057249544,1.278083558,-0.904007633
80,400,Low,11,8,-0.726840294,-0.486855082,-0.195784527,0.084370039,1.008390972
81,400,Low,11,7,-1.717497959,-0.178442711,0.457165543,-1.139839826,2.538309857
82,400,Low,4,1,0.224287835,0.03134756,0.074378577,-0.05739164,0.853928008
83,400,Low,9,6,0.056922562,-0.108251497,1.457155077,0.20350225,-0.036072881
84,400,Low,1,1,-2.20747761,-0.162568632,-0.517077556,0.351888632,1.42029221
85,400,Low,2,2,-2.730391328,1.640372819,0.057805789,0.552455992,1.13343242
86,400,Low,11,4,-1.16877828,1.353982669,-0.509842125,-0.307342983,1.037812489
87,400,Low,4,3,-0.986457399,0.500156381,-0.101838567,-1.395380185,0.44202677
88,400,Low,20,6,-0.768850755,0.197923089,-0.472781097,0.401784927,0.434671391
89,400,Low,4,2,-1.145465512,-0.271059833,0.431259316,0.947026762,0.081613187
9,100,Low,6,3,-0.257355784,-0.320161514,0.828538977,0.93835573,-0.874586116
90,400,Low,3,3,0.410598408,2.194170548,0.100086934,0.833635138,-0.286155776
91,400,Low,19,5,-0.839886117,0.187687782,-0.002131689,0.27643958,0.93483718
92,400,Low,4,4,-0.744931365,-0.307267253,0.601849662,0.878125061,-0.712767773
93,400,Low,9,4,-0.26044263,0.224127002,-0.645227997,0.224181627,1.104010903
94,400,Low,10,7,-0.971918994,1.311754177,-0.617145012,0.279476618,0.508225183
95,400,Low,5,4,-0.402783035,-0.727448166,-0.472591379,0.882712323,2.3102931
96,400,Low,9,4,-0.25352971,-0.268883447,-0.333548682,0.557644326,0.33905146
97,400,Low,8,3,-0.358465729,-1.048384735,-0.848885826,-1.390364819,5.421618523
98,400,Low,6,6,-0.362762392,0.46215503,-0.696601421,-0.011019012,-0.720123152
99,400,Low,5,5,-0.931158583,0.274675455,-0.022691411,1.259235,1.184920074
