Plot,Elevation,Elevation.Group,Abundance,n.Species,log.SLA,log.LMF,log.RMF,log.Soil,log.Light
1,100,Low,7,7,-0.611693334,-1.011630967,0.119685025,0.204336197,0.096323945
10,100,Low,7,5,-0.552089317,-0.587209151,1.275584629,0.626129734,-0.602437084
100,400,Low,13,4,-0.655186212,0.448063427,0.169108883,1.408061247,0.375828357
101,1000,High,2,1,-1.380525944,-2.401020177,3.788247711,1.262720335,1.633598209
102,1000,High,10,4,1.550759524,0.869887619,-0.252563447,1.878448211,0.118390083
103,1000,High,15,6,0.652389482,1.195055722,-1.293544629,1.316532362,-0.256734259
104,1000,High,22,8,0.188936668,0.989138957,-0.94104302,-0.648580192,1.140787799
105,1000,High,12,6,0.494010386,0.533061963,-1.013753127,0.198650923,-0.477395636
106,1000,High,10,5,0.542674027,0.047948375,0.557654141,0.090851277,0.33905146
107,1000,High,9,6,-1.217686526,-0.006287465,-0.57220699,-0.311469617,0.478803666
108,1000,High,14,6,-0.419532529,-0.369570977,-0.333182027,-0.642074948,0.655332768
109,1000,High,4,4,-0.670450718,1.664977467,-1.756077426,-1.474795361,-1.146735148
11,100,Low,4,4,-0.045365952,-0.59413857,-0.202623499,-0.6563793,1.118721661
110,1000,High,6,3,0.029046484,-0.24771049,1.62182321,0.024190439,-1.03640446
111,1000,High,3,3,-1.109693847,-1.119003005,1.182324602,1.552340671,-1.102602873
112,1000,High,10,7,0.338342381,1.992488038,-1.016956479,1.038529754,-0.73483391
113,1000,High,9,5,-0.532496853,0.915253827,-0.454850443,0.554792417,-0.815743082
114,1000,High,10,5,-1.105258634,0.997371552,-0.757308397,-1.478185639,1.552689037
115,1000,High,17,9,-0.352035313,0.87441244,-1.573364802,0.598590372,0.081613187
116,1000,High,6,4,-0.872706448,-0.361820535,-0.431983593,0.309492656,-0.058139019
118,1000,High,12,6,-0.474371676,0.037184018,-0.522769757,-0.28906441,-0.2420235
119,1000,High,7,6,-1.291432676,-0.356977385,0.797489912,0.124762628,-0.124337432
12,100,Low,4,4,0.297077347,0.251187359,-0.504332999,0.413289703,-0.109626674
120,1000,High,7,6,-0.802298372,0.299583352,-1.081439048,-0.444803642,0.111034704
121,1000,High,18,4,1.907746596,0.401924461,-1.265925477,-1.151276949,-1.470371835
122,1000,High,7,5,0.307167271,1.204839345,-0.915880656,-0.793152283,-0.940784529
123,1000,High,7,5,0.373524925,-0.422177255,0.917291067,1.207990831,-1.008033711
124,1000,High,8,2,0.626210162,0.433732899,-0.57799403,0.78078431,-0.83780922
125,1000,High,6,4,0.064910471,1.418861083,-0.607908343,1.0270832,-0.514172533
126,1100,High,9,6,-0.441701659,1.110498854,-0.999374169,-0.061785833,0.236076151
127,1100,High,9,5,-0.186302378,-0.257137715,-0.134283267,-0.071894278,0.412605253
128,1100,High,10,6,0.148963399,0.639715642,-0.463003526,-0.262236151,-0.278800397
129,1100,High,11,8,-0.562976454,-0.865162459,-0.259828195,-0.225689631,-0.036072881
13,100,Low,6,3,0.83052069,-1.176569593,1.249556747,1.486866434,-0.550949429
130,1100,High,10,7,-0.504513734,-0.579923283,1.183216171,-0.453430357,-0.587726325
131,1100,High,3,2,-0.02629935,0.823624253,-0.561621254,-0.026680157,-0.219957363
132,1100,High,15,4,-0.51707348,1.494667047,-1.947514456,-1.470433554,-0.675990876
133,1100,High,7,4,0.398710266,0.99380091,-1.140084654,-1.008396605,-0.940784529
134,1100,High,6,5,0.766178889,0.225537536,-1.534494004,-0.755640694,-0.808387703
135,1100,High,2,2,-0.500786172,-1.302999171,-1.008341842,-0.318616617,1.081944765
136,1100,High,5,5,-0.171738346,-2.547790589,2.512007399,0.615126343,-0.705412393
137,1100,High,7,4,-0.440322586,1.692173548,-1.120777024,0.754294153,1.449713727
138,1100,High,9,6,-0.436321183,2.282558527,-1.317894279,0.206105009,-1.102602873
139,1100,High,9,5,-0.562992413,0.02241709,-0.430297062,-0.540365823,-0.24937888
14,100,Low,7,7,1.626511281,0.417666504,1.12531341,2.244873036,-0.492106395
140,1100,High,10,3,-1.245741285,-0.374287314,-0.366787077,0.559566218,-0.609792463
141,1100,High,4,4,-0.616284973,-0.362093289,-0.550751444,-0.089842648,-1.183512045
142,1100,High,5,4,-0.348657904,0.803853081,-1.180209015,-1.018106832,0.05219167
143,1100,High,6,5,-0.734400064,-0.021741617,-0.180733381,-0.393201347,-0.565660187
144,1100,High,10,5,-1.646311778,0.024971464,-0.012119873,0.307663018,-0.506817153
145,1100,High,6,2,-0.916760114,0.226788546,0.270325057,0.463227855,-0.550949429
146,1100,High,7,6,-0.327844901,0.877268922,-0.011601022,1.091980906,0.258142289
147,1100,High,9,6,-0.115103643,0.223978649,0.10758889,0.750202918,-0.54359405
148,1100,High,6,6,0.252306589,0.210322979,0.015990587,-0.24431602,-1.257065837
149,1100,High,1,1,-1.206260069,0.826691295,-0.70927641,-0.384983519,-0.918718392
15,100,Low,5,3,2.510043903,-0.023255932,0.340819841,-0.031994537,-1.02904908
150,1100,High,10,7,-1.34891165,0.435426579,0.163087215,-0.548139529,-0.484751016
151,1200,High,6,5,-0.56455885,0.014825802,0.2840349,0.287802657,-0.2420235
152,1200,High,5,2,-1.528468727,-0.273070409,-1.889557492,-0.350969067,-0.845164599
153,1200,High,8,6,-0.68328739,0.689879323,-0.817599997,-2.56900982,-1.109958252
154,1200,High,11,7,-0.067595841,0.83785215,-0.423255756,-2.647517273,-0.565660187
155,1200,High,10,4,0.244135335,0.125450453,-0.614181898,-1.389908809,-0.705412393
156,1200,High,4,3,0.291522741,-0.052475417,-0.187724814,-1.765380364,-0.396486465
157,1200,High,7,5,-0.527922736,-0.422085648,-0.009050605,-0.777110247,-0.962850667
158,1200,High,10,5,0.198299693,-0.853771877,-0.454839782,-0.315690338,0.927481801
159,1200,High,3,2,0.50014662,-1.860451774,-0.567471908,0.058074192,-0.087560536
16,100,Low,4,3,0.635812729,-0.93780488,-0.499628177,2.171882208,-0.131692812
160,1200,High,3,3,-0.085936333,-0.321029525,0.886962299,0.651258146,-0.109626674
